project,subproject,rca,program_title,yr3_forecast,yr2_forecast,yr1_forecast,yr0_plan,yr1_approp,yr2_oblig,key
project-2,subproject-25,rca-71,program-1,10720,6088.39,4943.04,3914.83,3182.43,2963.65,project-2-subproject-25-rca-71program-1
project-3,subproject-4,rca-59,program-101,3802,3336.52,2993.59,2188.7,1401.76,1344.69,project-3-subproject-4-rca-59program-101
project-7,subproject-1,rca-48,program-13,21003,25335.88,26680.33,19305.4,18877.69,16381.08,project-7-subproject-1-rca-48program-13
project-3,subproject-35,rca-24,program-70,18119,13327.08,11636.98,10814.59,10468.53,9276.75,project-3-subproject-35-rca-24program-70
project-4,subproject-16,rca-15,program-39,25076,18044.77,17481.29,22554.12,24965.61,23551.56,project-4-subproject-16-rca-15program-39
project-20,subproject-35,rca-74,program-78,17823,9979.99,11151.58,7805.77,5227.61,4683.03,project-20-subproject-35-rca-74program-78
project-5,subproject-8,rca-42,program-54,1995,1418.07,1410.78,1530.54,1000.37,982.76,project-5-subproject-8-rca-42program-54
project-19,subproject-1,rca-61,program-99,29719,22956.24,20184.4,17733.14,11117.38,11085.58,project-19-subproject-1-rca-61program-99
project-1,subproject-19,rca-52,program-109,6339,6012.13,6498.74,5519.67,5697.19,5365.77,project-1-subproject-19-rca-52program-109
project-11,subproject-37,rca-46,program-70,2979,2487.47,2396.11,2954.29,1786.16,1690.59,project-11-subproject-37-rca-46program-70
project-13,subproject-37,rca-51,program-27,9591,5179.39,6128.81,3730.02,2903.91,2689.52,project-13-subproject-37-rca-51program-27
project-9,subproject-30,rca-39,program-20,6523,7833.88,7699.7,5239.74,5344.95,4638.74,project-9-subproject-30-rca-39program-20
project-13,subproject-3,rca-34,program-81,24242,14846.57,15147.36,17915.09,17814.72,14755.53,project-13-subproject-3-rca-34program-81
project-5,subproject-14,rca-69,program-106,15977,10804.86,8791.7,9765.97,11085.57,10192.39,project-5-subproject-14-rca-69program-106
project-19,subproject-9,rca-25,program-105,13050,14201.37,16681.23,18611.86,19922.57,18203.41,project-19-subproject-9-rca-25program-105
project-9,subproject-24,rca-61,program-75,20422,15473.12,14406.24,13638.09,13035.38,11626.37,project-9-subproject-24-rca-61program-75
project-4,subproject-31,rca-64,program-49,12383,14449.89,14894.42,12074.05,7616.7,6642.81,project-4-subproject-31-rca-64program-49
project-6,subproject-1,rca-39,program-112,27815,17168.47,15978.65,17082.07,12196.93,12077.75,project-6-subproject-1-rca-39program-112
project-12,subproject-13,rca-79,program-19,23378,14162.08,12251.99,8455.79,6554.66,6361.68,project-12-subproject-13-rca-79program-19
project-2,subproject-37,rca-64,program-71,10491,8171.77,9250.78,8637.82,10321.48,10269.27,project-2-subproject-37-rca-64program-71
project-3,subproject-13,rca-39,program-62,26508,25463.23,21751.34,18823.23,21890.26,18225.93,project-3-subproject-13-rca-39program-62
project-8,subproject-22,rca-61,program-56,26659,21962.59,22671.27,17809.08,11705.3,10132.45,project-8-subproject-22-rca-61program-56
project-6,subproject-16,rca-54,program-32,29936,24293.98,20399.13,20533.68,13644.63,13026.5,project-6-subproject-16-rca-54program-32
project-8,subproject-3,rca-37,program-39,9620,11463.1,12743.94,11846.84,8052.46,7904.78,project-8-subproject-3-rca-37program-39
project-20,subproject-35,rca-79,program-116,23059,24970.96,26816.98,25035.86,17984.38,14407.87,project-20-subproject-35-rca-79program-116
project-19,subproject-15,rca-68,program-99,25683,25965.23,23470.5,27392.92,16832.47,16395.58,project-19-subproject-15-rca-68program-99
project-5,subproject-32,rca-54,program-45,7235,4725.81,5332.34,5269.95,6054.14,4873.23,project-5-subproject-32-rca-54program-45
project-17,subproject-21,rca-8,program-63,13489,7956.42,7586.1,7098.93,7631.91,6699.39,project-17-subproject-21-rca-8program-63
project-15,subproject-18,rca-24,program-46,22398,23143.59,24855.42,27761.6,19730.28,18627.57,project-15-subproject-18-rca-24program-46
project-4,subproject-12,rca-11,program-24,14108,8101.99,8013.06,9131.08,6276.21,6109.93,project-4-subproject-12-rca-11program-24
project-19,subproject-13,rca-65,program-116,9593,8932.65,10449.68,10590.69,9239.08,7574.19,project-19-subproject-13-rca-65program-116
project-20,subproject-28,rca-28,program-2,15669,15172.69,16296.62,14938.56,9689.68,8648.7,project-20-subproject-28-rca-28program-2
project-3,subproject-37,rca-64,program-2,22667,13238.69,14865.78,15977.74,13428.53,12963.99,project-3-subproject-37-rca-64program-2
project-6,subproject-4,rca-17,program-10,1582,1337.71,1448.2,1550.17,1586.47,1492.47,project-6-subproject-4-rca-17program-10
project-13,subproject-21,rca-62,program-59,26622,24962.05,20669.31,19735.11,14045.81,13209.55,project-13-subproject-21-rca-62program-59
project-14,subproject-29,rca-34,program-96,20611,24017.98,27926.36,17009.81,17384.82,17025.72,project-14-subproject-29-rca-34program-96
project-9,subproject-27,rca-16,program-80,24106,30667.05,26772.21,20067.96,16610.87,16426.11,project-9-subproject-27-rca-16program-80
project-15,subproject-29,rca-13,program-57,20530,21108.71,25093.35,17879.17,20330.17,18346.35,project-15-subproject-29-rca-13program-57
project-10,subproject-37,rca-42,program-85,21179,18937.89,17462.14,12564.9,11316.44,11255.92,project-10-subproject-37-rca-42program-85
project-6,subproject-21,rca-22,program-34,23537,17479.15,15392.93,17408.11,11853.14,10275.95,project-6-subproject-21-rca-22program-34
project-18,subproject-12,rca-31,program-109,17793,19000.25,21519.25,27326.17,30189.93,28719.25,project-18-subproject-12-rca-31program-109
project-9,subproject-38,rca-46,program-63,9619,10171.8,9111.74,9101.84,9212.29,7969.83,project-9-subproject-38-rca-46program-63
project-10,subproject-31,rca-44,program-18,22422,21693.37,23518.0,28876.1,18760.12,16280.04,project-10-subproject-31-rca-44program-18
project-12,subproject-6,rca-39,program-115,17756,12181.54,10784.24,9318.77,10411.2,9977.7,project-12-subproject-6-rca-39program-115
project-15,subproject-26,rca-52,program-11,7163,4676.49,5550.21,6568.9,5388.38,5068.2,project-15-subproject-26-rca-52program-11
project-11,subproject-29,rca-79,program-18,14944,7523.82,8260.3,9829.24,8961.91,7234.25,project-11-subproject-29-rca-79program-18
project-15,subproject-13,rca-59,program-18,2141,1669.31,1583.59,1068.17,672.23,545.79,project-15-subproject-13-rca-59program-18
project-7,subproject-39,rca-49,program-98,1416,1230.03,1310.48,1257.42,897.02,838.12,project-7-subproject-39-rca-49program-98
project-17,subproject-28,rca-18,program-86,5706,3384.79,3503.47,2276.18,2723.26,2573.81,project-17-subproject-28-rca-18program-86
project-18,subproject-17,rca-39,program-62,16952,11190.56,10447.74,7948.74,5582.83,4624.35,project-18-subproject-17-rca-39program-62
project-17,subproject-32,rca-49,program-120,16902,8905.12,9365.62,7943.41,7757.9,7013.21,project-17-subproject-32-rca-49program-120
project-11,subproject-5,rca-65,program-50,12452,15506.63,14945.0,15093.64,10871.2,10423.85,project-11-subproject-5-rca-65program-50
project-18,subproject-18,rca-78,program-53,28862,28046.95,23432.04,19586.36,21266.52,18430.32,project-18-subproject-18-rca-78program-53
project-15,subproject-30,rca-40,program-40,7634,6018.21,5645.96,4532.77,5221.4,4416.12,project-15-subproject-30-rca-40program-40
project-15,subproject-36,rca-20,program-102,14494,8156.7,6640.15,6841.78,4519.34,4036.52,project-15-subproject-36-rca-20program-102
project-4,subproject-31,rca-63,program-73,15432,12789.72,13825.51,16473.08,15628.61,13046.03,project-4-subproject-31-rca-63program-73
project-16,subproject-17,rca-22,program-85,11152,7820.3,7181.93,4605.12,2897.21,2585.2,project-16-subproject-17-rca-22program-85
project-16,subproject-35,rca-56,program-104,16805,19003.62,18615.65,19338.88,12532.25,11314.66,project-16-subproject-35-rca-56program-104
project-4,subproject-1,rca-63,program-105,2511,1532.73,1360.75,1173.27,1075.96,987.94,project-4-subproject-1-rca-63program-105
project-13,subproject-30,rca-46,program-63,8293,10315.1,10225.36,8447.95,7509.26,7228.58,project-13-subproject-30-rca-46program-63
project-14,subproject-34,rca-27,program-85,2213,1719.52,2040.13,1433.11,1559.0,1388.01,project-14-subproject-34-rca-27program-85
project-5,subproject-35,rca-33,program-120,3419,3878.36,4146.06,2686.96,1806.78,1791.89,project-5-subproject-35-rca-33program-120
project-9,subproject-18,rca-51,program-58,16870,13096.93,12700.23,8383.85,6532.71,5640.08,project-9-subproject-18-rca-51program-58
project-17,subproject-31,rca-69,program-54,25920,30315.23,24273.2,20976.25,19255.73,17025.72,project-17-subproject-31-rca-69program-54
project-10,subproject-14,rca-32,program-87,9351,11426.88,12990.41,9867.1,6635.93,5758.52,project-10-subproject-14-rca-32program-87
project-7,subproject-38,rca-49,program-82,10392,8377.43,9920.91,6977.17,7140.86,6406.85,project-7-subproject-38-rca-49program-82
project-18,subproject-29,rca-20,program-16,26243,16227.99,17292.73,19911.58,20621.3,18097.32,project-18-subproject-29-rca-20program-16
project-2,subproject-1,rca-13,program-65,27638,31619.79,25619.65,22784.91,21906.48,18444.0,project-2-subproject-1-rca-13program-65
project-8,subproject-30,rca-66,program-56,11198,10410.48,9828.8,9903.15,6139.82,5162.21,project-8-subproject-30-rca-66program-56
project-11,subproject-7,rca-80,program-59,7253,5780.06,5416.47,4779.43,3250.59,2923.16,project-11-subproject-7-rca-80program-59
project-20,subproject-19,rca-21,program-27,21931,22941.21,23697.45,16725.41,15184.56,14580.58,project-20-subproject-19-rca-21program-27
project-17,subproject-37,rca-49,program-9,16496,19526.74,19186.36,19708.63,22071.96,19245.43,project-17-subproject-37-rca-49program-9
project-13,subproject-22,rca-76,program-101,7043,3556.45,3895.13,5001.8,3310.27,3200.48,project-13-subproject-22-rca-76program-101
project-9,subproject-20,rca-70,program-92,27338,22203.86,19894.01,12444.33,10265.48,9774.81,project-9-subproject-20-rca-70program-92
project-13,subproject-23,rca-20,program-1,19336,19820.75,18331.88,21978.26,20639.85,19220.2,project-13-subproject-23-rca-20program-1
project-18,subproject-9,rca-62,program-47,20224,22645.63,25104.14,16258.53,18428.26,16258.68,project-18-subproject-9-rca-62program-47
project-13,subproject-31,rca-71,program-18,10995,5768.26,4902.65,4858.6,3028.3,2472.12,project-13-subproject-31-rca-71program-18
project-5,subproject-27,rca-15,program-49,8311,9879.98,11112.54,8258.31,6119.29,5235.15,project-5-subproject-27-rca-15program-49
project-3,subproject-23,rca-80,program-8,11237,7719.92,7602.5,6204.44,5264.45,4511.79,project-3-subproject-23-rca-80program-8
project-3,subproject-38,rca-69,program-57,28626,33478.92,36797.82,25156.78,25906.76,23799.04,project-3-subproject-38-rca-69program-57
project-10,subproject-39,rca-3,program-99,5320,4548.29,4967.84,5684.82,4168.72,3981.97,project-10-subproject-39-rca-3program-99
project-7,subproject-5,rca-16,program-50,27034,16046.92,16333.04,12554.14,12176.25,10941.28,project-7-subproject-5-rca-16program-50
project-12,subproject-8,rca-72,program-111,13054,11477.11,12449.35,15151.02,17194.52,14238.93,project-12-subproject-8-rca-72program-111
project-3,subproject-18,rca-21,program-100,9216,5709.1,5261.77,6051.79,6267.84,5493.68,project-3-subproject-18-rca-21program-100
project-16,subproject-28,rca-67,program-89,9291,5501.26,4589.81,5503.75,3918.51,3403.15,project-16-subproject-28-rca-67program-89
project-2,subproject-29,rca-71,program-108,10659,9321.07,10976.05,11149.69,10299.45,10164.37,project-2-subproject-29-rca-71program-108
project-7,subproject-38,rca-23,program-96,12805,14250.97,12469.93,15542.72,12588.17,10579.59,project-7-subproject-38-rca-23program-96
project-20,subproject-25,rca-69,program-14,28235,18615.89,19402.06,15654.81,11437.44,10424.22,project-20-subproject-25-rca-69program-14
project-2,subproject-36,rca-10,program-101,27489,33683.98,28525.08,27390.97,21662.06,17695.09,project-2-subproject-36-rca-10program-101
project-8,subproject-31,rca-35,program-73,11835,11825.2,9738.9,6537.23,6535.36,5890.97,project-8-subproject-31-rca-35program-73
project-6,subproject-38,rca-67,program-75,3872,1942.69,1662.97,1416.75,1371.01,1351.78,project-6-subproject-38-rca-67program-75
project-20,subproject-22,rca-9,program-28,13665,11390.22,12686.0,9829.04,10511.88,9106.16,project-20-subproject-22-rca-9program-28
project-13,subproject-36,rca-20,program-25,17896,18875.43,16371.3,14372.74,14860.37,12995.33,project-13-subproject-36-rca-20program-25
project-5,subproject-10,rca-50,program-119,18293,20030.81,19763.08,24532.17,15387.34,13141.73,project-5-subproject-10-rca-50program-119
project-8,subproject-39,rca-41,program-62,10601,5896.98,6450.72,4074.62,3870.28,3265.11,project-8-subproject-39-rca-41program-62
project-11,subproject-14,rca-14,program-7,10511,5513.51,6543.01,4432.62,3622.3,3335.26,project-11-subproject-14-rca-14program-7
project-11,subproject-34,rca-61,program-120,21476,15321.05,16224.77,16001.64,17979.76,14882.63,project-11-subproject-34-rca-61program-120
project-4,subproject-38,rca-23,program-6,22841,11515.29,11084.28,7385.01,4650.27,4077.6,project-4-subproject-38-rca-23program-6
project-11,subproject-20,rca-8,program-44,9434,11700.44,10942.23,12757.48,11335.64,9573.92,project-11-subproject-20-rca-8program-44
project-11,subproject-10,rca-43,program-53,23680,16450.07,15875.0,11622.16,8887.7,7439.44,project-11-subproject-10-rca-43program-53
project-16,subproject-10,rca-68,program-78,16031,13550.79,14333.05,15382.92,12977.39,11911.46,project-16-subproject-10-rca-68program-78
project-14,subproject-38,rca-64,program-64,1204,1290.45,1139.26,1300.18,1321.24,1279.43,project-14-subproject-38-rca-64program-64
project-3,subproject-22,rca-76,program-96,27801,17066.17,17048.92,10582.49,7468.71,7034.09,project-3-subproject-22-rca-76program-96
project-6,subproject-31,rca-59,program-98,29175,31947.12,30213.59,22107.72,20591.15,16683.83,project-6-subproject-31-rca-59program-98
project-14,subproject-36,rca-66,program-32,5583,4385.97,4409.76,3307.56,2685.72,2662.21,project-14-subproject-36-rca-66program-32
project-6,subproject-29,rca-49,program-94,13622,7958.46,8384.0,10559.13,7960.02,7267.98,project-6-subproject-29-rca-49program-94
project-3,subproject-22,rca-76,program-87,21709,11014.75,9168.71,8179.22,7152.88,6171.43,project-3-subproject-22-rca-76program-87
project-11,subproject-34,rca-44,program-29,6069,5199.47,5464.13,3983.32,3227.45,3213.07,project-11-subproject-34-rca-44program-29
project-10,subproject-1,rca-11,program-31,24728,29288.93,29752.32,34177.89,28188.37,27160.28,project-10-subproject-1-rca-11program-31
project-14,subproject-11,rca-39,program-7,22030,26910.53,31207.41,28411.48,34029.95,29778.46,project-14-subproject-11-rca-39program-7
project-1,subproject-40,rca-13,program-18,19099,17364.71,14352.34,11781.22,8184.29,7577.92,project-1-subproject-40-rca-13program-18
project-12,subproject-16,rca-18,program-75,8512,6341.57,7427.09,6735.02,7513.69,7399.64,project-12-subproject-16-rca-18program-75
project-14,subproject-12,rca-5,program-76,5493,5102.62,5605.95,5221.39,5760.82,4753.41,project-14-subproject-12-rca-5program-76
project-13,subproject-39,rca-59,program-49,22576,16624.86,13334.6,13499.24,8902.8,7354.35,project-13-subproject-39-rca-59program-49
project-12,subproject-17,rca-64,program-80,5549,6175.34,7251.21,5149.41,6071.55,5773.56,project-12-subproject-17-rca-64program-80
project-8,subproject-25,rca-39,program-85,18025,17810.05,17341.99,18648.98,12807.23,11230.32,project-8-subproject-25-rca-39program-85
project-16,subproject-16,rca-53,program-68,8486,9604.18,8210.37,9694.23,8515.05,6861.35,project-16-subproject-16-rca-53program-68
project-7,subproject-24,rca-30,program-34,15372,18961.41,22452.66,28385.4,20505.31,19389.27,project-7-subproject-24-rca-30program-34
project-14,subproject-9,rca-20,program-28,4100,2311.19,2200.85,2610.79,1754.75,1413.49,project-14-subproject-9-rca-20program-28
project-4,subproject-6,rca-77,program-63,11454,7719.9,6205.63,6473.63,4205.76,3558.82,project-4-subproject-6-rca-77program-63
project-8,subproject-26,rca-39,program-9,3985,4465.21,3639.34,3663.15,2482.56,2081.42,project-8-subproject-26-rca-39program-9
project-16,subproject-23,rca-37,program-87,19283,17373.31,16056.91,15396.34,12234.23,10224.27,project-16-subproject-23-rca-37program-87
project-19,subproject-22,rca-13,program-103,23587,28509.67,23593.23,18552.37,12399.7,11522.28,project-19-subproject-22-rca-13program-103
project-19,subproject-24,rca-26,program-63,14722,10892.09,10278.67,7137.14,5209.09,4302.72,project-19-subproject-24-rca-26program-63
project-12,subproject-17,rca-7,program-111,28346,18038.81,14563.94,13239.48,15201.52,13953.28,project-12-subproject-17-rca-7program-111
project-12,subproject-30,rca-45,program-2,1543,1285.18,1341.93,1620.11,1829.02,1690.41,project-12-subproject-30-rca-45program-2
project-9,subproject-35,rca-31,program-25,1169,811.66,686.71,828.29,976.41,927.56,project-9-subproject-35-rca-31program-25
project-15,subproject-2,rca-35,program-96,3482,2478.07,2618.11,2000.89,1709.61,1523.24,project-15-subproject-2-rca-35program-96
